rttTimer(ms),latencyTime(ms),packetSizeUp(B),packetSizeDown(B),Throughput(B/s),processTime(ms)
205,105,200,91200,445853.6585365854,62.84689903259277
212,79,200,91200,431132.0754716981,61.34438514709473
336,100,200,91200,272023.8095238095,63.277244567871094
201,89,200,91200,454726.36815920396,60.591936111450195
207,106,200,91200,441545.89371980674,60.94670295715332
170,86,200,91200,537647.0588235294,60.027360916137695
194,113,200,91200,471134.0206185567,57.81245231628418
333,92,200,91200,274474.47447447444,59.25297737121582
228,100,200,91200,400877.1929824562,63.14730644226074
208,103,200,91200,439423.0769230769,60.12463569641113
199,113,200,91200,459296.4824120603,60.66584587097168
196,97,200,91200,466326.53061224485,77.64053344726562
304,107,200,91200,300657.8947368421,57.93356895446777
185,92,200,91200,494054.0540540541,59.4179630279541
200,101,200,91200,457000.0,58.91847610473633
188,92,200,91200,486170.21276595746,69.72289085388184
327,91,200,91200,279510.7033639144,66.96152687072754
199,87,200,91200,459296.4824120603,62.36720085144043
209,93,200,91200,437320.57416267943,59.784889221191406
209,110,200,91200,437320.57416267943,59.94868278503418
217,97,200,91200,421198.1566820277,63.23862075805664
354,95,200,91200,258192.09039548025,65.99807739257812
216,109,200,91200,423148.14814814815,59.757232666015625
198,101,200,91200,461616.1616161616,60.353755950927734
214,102,200,91200,427102.80373831774,60.96076965332031
208,90,200,91200,439423.0769230769,59.738874435424805
338,121,200,91200,270414.20118343196,61.92946434020996
201,94,200,91200,454726.36815920396,59.159040451049805
216,92,200,91200,423148.14814814815,66.88475608825684
226,112,200,91200,404424.77876106196,65.68002700805664
209,118,200,91200,437320.57416267943,66.18833541870117
335,87,200,91200,272835.82089552237,67.9483413696289
181,97,200,91200,504972.37569060776,68.0840015411377
194,99,200,91200,471134.0206185567,65.8113956451416
229,76,200,91200,399126.6375545852,78.22275161743164
215,89,200,91200,425116.2790697674,60.4856014251709
331,119,200,91200,276132.9305135952,80.03926277160645
209,90,200,91200,437320.57416267943,62.66355514526367
205,89,200,91200,445853.6585365854,60.347795486450195
197,107,200,91200,463959.3908629442,61.1567497253418
188,88,200,91200,486170.21276595746,63.09914588928223
320,92,200,91200,285625.0,62.07394599914551
187,90,200,91200,488770.0534759358,62.319278717041016
201,82,200,91200,454726.36815920396,60.5158805847168
202,105,200,91200,452475.2475247525,61.36512756347656
191,98,200,91200,478534.0314136126,60.45842170715332
326,81,200,91200,280368.0981595092,64.32318687438965
174,104,200,91200,525287.356321839,63.02475929260254
213,87,200,91200,429107.9812206573,63.57717514038086
195,97,200,91200,468717.94871794875,61.53535842895508
191,109,200,91200,478534.0314136126,61.670541763305664
330,90,200,91200,276969.696969697,61.37895584106445
195,89,200,91200,468717.94871794875,61.821699142456055
204,78,200,91200,448039.2156862745,74.20015335083008
175,93,200,91200,522285.7142857143,62.64996528625488
300,98,200,91200,304666.6666666667,60.7302188873291
128,0,1664,91200,725500.0,12.454032897949219
190,44,200,91200,481052.63157894736,60.07814407348633
298,59,200,91200,306711.40939597314,59.68165397644043
215,47,200,91200,425116.2790697674,60.895681381225586
198,61,200,91200,461616.1616161616,61.08880043029785
185,68,200,91200,494054.0540540541,71.62642478942871
316,63,200,91200,289240.50632911397,62.68787384033203
211,67,200,91200,433175.35545023694,67.05069541931152
180,70,200,91200,507777.77777777775,67.00325012207031
197,59,200,91200,463959.3908629442,73.68278503417969
187,61,200,91200,488770.0534759358,68.23110580444336
322,59,200,91200,283850.93167701864,67.33942031860352
201,64,200,91200,454726.36815920396,72.0062255859375
199,63,200,91200,459296.4824120603,71.3353157043457
225,61,200,91200,406222.22222222225,69.79870796203613
202,91,200,91200,452475.2475247525,71.18701934814453
354,75,200,91200,258192.09039548025,79.45489883422852
211,94,200,91200,433175.35545023694,67.18158721923828
202,90,200,91200,452475.2475247525,65.02962112426758
211,98,200,91200,433175.35545023694,72.68500328063965
340,97,200,91200,268823.5294117647,64.20588493347168
221,101,200,91200,413574.66063348413,64.36300277709961
193,96,200,91200,473575.12953367876,67.42978096008301
205,107,200,91200,445853.6585365854,65.5972957611084
207,104,200,91200,441545.89371980674,61.57064437866211
331,82,200,91200,276132.9305135952,65.06729125976562
217,80,200,91200,421198.1566820277,65.08016586303711
220,87,200,91200,415454.5454545454,62.32261657714844
219,95,200,91200,417351.598173516,63.00020217895508
353,102,200,91200,258923.51274787536,64.28837776184082
196,116,200,91200,466326.53061224485,63.74979019165039
217,88,200,91200,421198.1566820277,71.8836784362793
207,93,200,91200,441545.89371980674,63.86065483093262
205,97,200,91200,445853.6585365854,63.649654388427734
341,73,200,91200,268035.1906158358,64.93544578552246
208,118,200,91200,439423.0769230769,65.20724296569824
208,103,200,91200,439423.0769230769,64.2697811126709
214,97,200,91200,427102.80373831774,74.93305206298828
319,85,200,91200,286520.3761755486,63.727617263793945
206,90,200,91200,443689.32038834953,62.92319297790527
193,82,200,91200,473575.12953367876,65.8423900604248
207,103,200,91200,441545.89371980674,63.584327697753906
206,98,200,91200,443689.32038834953,63.74526023864746
336,90,200,91200,272023.8095238095,67.0783519744873
226,83,200,91200,404424.77876106196,75.74129104614258
201,94,200,91200,454726.36815920396,65.399169921875
182,91,200,91200,502197.80219780223,61.026573181152344
334,90,200,91200,273652.6946107784,63.54546546936035
222,95,200,91200,411711.7117117117,73.38976860046387
199,111,200,91200,459296.4824120603,62.578678131103516
176,106,200,91200,519318.1818181819,60.33158302307129
189,114,200,91200,483597.88359788357,60.8067512512207
312,92,200,91200,292948.71794871794,60.97292900085449
212,94,200,91200,431132.0754716981,61.07449531555176
212,91,200,91200,431132.0754716981,62.098026275634766
205,98,200,91200,445853.6585365854,61.0201358795166
211,90,200,91200,433175.35545023694,70.95456123352051
336,95,200,91200,272023.8095238095,66.28918647766113
222,87,200,91200,411711.7117117117,67.72613525390625
206,98,200,91200,443689.32038834953,60.631752014160156
208,87,200,91200,439423.0769230769,60.70590019226074
335,86,200,91200,272835.82089552237,59.98492240905762
206,86,200,91200,443689.32038834953,58.72488021850586
194,97,200,91200,471134.0206185567,61.684370040893555
214,87,200,91200,427102.80373831774,61.57398223876953
198,103,200,91200,461616.1616161616,59.02743339538574
328,85,200,91200,278658.5365853659,63.85540962219238
201,109,200,91200,454726.36815920396,64.45598602294922
197,91,200,91200,463959.3908629442,61.852455139160156
191,114,200,91200,478534.0314136126,66.47634506225586
192,93,200,91200,476041.6666666667,57.16276168823242
320,100,200,91200,285625.0,58.5939884185791
186,84,200,91200,491397.84946236556,67.00944900512695
191,89,200,91200,478534.0314136126,57.90281295776367
204,83,200,91200,448039.2156862745,58.54916572570801
204,66,200,91200,448039.2156862745,54.944515228271484
331,89,200,91200,276132.9305135952,57.77740478515625
213,107,200,91200,429107.9812206573,58.9902400970459
188,88,200,91200,486170.21276595746,60.173749923706055
218,93,200,91200,419266.05504587153,54.70132827758789
341,94,200,91200,268035.1906158358,56.298255920410156
214,92,200,91200,427102.80373831774,55.50217628479004
194,106,200,91200,471134.0206185567,55.34243583679199
201,94,200,91200,454726.36815920396,57.80839920043945
203,103,200,91200,450246.3054187192,59.28993225097656
342,106,200,91200,267251.46198830404,58.728694915771484
198,102,200,91200,461616.1616161616,59.22985076904297
204,92,200,91200,448039.2156862745,64.26763534545898
191,90,200,91200,478534.0314136126,62.61754035949707
190,89,200,91200,481052.63157894736,59.43632125854492
329,90,200,91200,277811.55015197565,61.017513275146484
209,99,200,91200,437320.57416267943,61.625003814697266
200,89,200,91200,457000.0,62.92128562927246
198,89,200,91200,461616.1616161616,57.903289794921875
188,101,200,91200,486170.21276595746,62.952518463134766
323,91,200,91200,282972.1362229102,60.216665267944336
225,85,200,91200,406222.22222222225,62.602996826171875
205,117,200,91200,445853.6585365854,61.49172782897949
192,95,200,91200,476041.6666666667,61.74898147583008
