rttTimer(ms),latencyTime(ms),packetSizeUp(B),packetSizeDown(B),Throughput(B/s),processTime(ms)
498,0,1664,91200,1.4226829191767068,116.13726615905762
498,152,200,91200,1.4002543376631524,236.4966869354248
817,124,200,91200,0.853521003863219,166.17226600646973
627,156,200,91200,1.1121637323066187,157.64808654785156
686,139,200,91200,1.0165111664085278,158.3876609802246
637,128,200,91200,1.0947043330553377,153.47766876220703
608,140,200,91200,1.1469188489412006,161.895751953125
796,140,200,91200,0.8760385177842337,165.09413719177246
643,141,200,91200,1.0844893626069207,164.12043571472168
627,159,200,91200,1.1121637323066187,159.75284576416016
622,149,200,91200,1.1211039552351287,143.5847282409668
769,177,200,91200,0.9067966972122887,170.820951461792
713,149,200,91200,0.9780177561798737,168.93339157104492
667,133,200,91200,1.0454672566060719,167.680025100708
616,145,200,91200,1.1320237989549513,309.01622772216797
