rttTimer(ms),latencyTime(ms),packetSizeUp(B),packetSizeDown(B),Throughput(B/s),processTime(ms)
481,0,1664,91200,193064.44906444906,12.03465461730957
235,204,200,91200,388936.1702127659,66.27082824707031
205,158,200,91200,445853.6585365854,54.30412292480469
303,49,200,91200,301650.1650165017,72.22747802734375
176,33,200,91200,519318.1818181819,56.21671676635742
160,53,200,91200,571250.0,59.33356285095215
172,46,200,91200,531395.3488372093,54.830312728881836
169,52,200,91200,540828.4023668639,61.52606010437012
297,53,200,91200,307744.1077441077,53.853511810302734
147,53,200,91200,621768.7074829933,54.32415008544922
151,49,200,91200,605298.0132450331,53.09176445007324
148,53,200,91200,617567.5675675676,58.50100517272949
163,46,200,91200,560736.1963190184,55.938720703125
308,51,200,91200,296753.24675324676,61.22088432312012
203,47,200,91200,450246.3054187192,53.926706314086914
209,51,200,91200,437320.57416267943,58.713436126708984
163,67,200,91200,560736.1963190184,55.04798889160156
353,54,200,91200,258923.51274787536,60.93621253967285
169,53,200,91200,540828.4023668639,68.7263011932373
209,63,200,91200,437320.57416267943,61.19489669799805
164,48,200,91200,557317.0731707318,69.44847106933594
201,56,200,91200,454726.36815920396,60.60457229614258
294,52,200,91200,310884.3537414966,56.79011344909668
180,57,200,91200,507777.77777777775,62.92319297790527
169,53,200,91200,540828.4023668639,59.64255332946777
188,53,200,91200,486170.21276595746,59.39745903015137
175,51,200,91200,522285.7142857143,55.989742279052734
318,54,200,91200,287421.38364779874,60.74213981628418
207,56,200,91200,441545.89371980674,58.214664459228516
197,90,200,91200,463959.3908629442,63.408851623535156
198,59,200,91200,461616.1616161616,59.86475944519043
218,108,200,91200,419266.05504587153,61.41781806945801
300,65,200,91200,304666.6666666667,61.3245964050293
187,88,200,91200,488770.0534759358,60.75477600097656
214,72,200,91200,427102.80373831774,53.70831489562988
195,86,200,91200,468717.94871794875,61.54155731201172
211,60,200,91200,433175.35545023694,55.45330047607422
310,108,200,91200,294838.70967741933,63.80510330200195
198,73,200,91200,461616.1616161616,57.1441650390625
200,94,200,91200,457000.0,61.56444549560547
206,67,200,91200,443689.32038834953,57.62672424316406
322,94,200,91200,283850.93167701864,60.8367919921875
207,70,200,91200,441545.89371980674,57.46626853942871
183,99,200,91200,499453.5519125683,61.319828033447266
203,77,200,91200,450246.3054187192,58.028221130371094
197,89,200,91200,463959.3908629442,60.468196868896484
336,68,200,91200,272023.8095238095,55.539846420288086
194,96,200,91200,471134.0206185567,59.41200256347656
183,66,200,91200,499453.5519125683,55.63235282897949
199,116,200,91200,459296.4824120603,59.834957122802734
201,68,200,91200,454726.36815920396,54.39138412475586
315,88,200,91200,290158.7301587302,59.16261672973633
435,65,200,91200,210114.94252873564,57.622432708740234
190,158,200,91200,481052.63157894736,62.525272369384766
243,77,200,91200,376131.6872427984,57.76667594909668
188,116,200,91200,486170.21276595746,57.46936798095703
336,60,200,91200,272023.8095238095,54.62765693664551
197,105,200,91200,463959.3908629442,62.70790100097656
207,54,200,91200,441545.89371980674,55.69887161254883
187,98,200,91200,488770.0534759358,60.58382987976074
213,65,200,91200,429107.9812206573,101.71675682067871
378,98,200,91200,241798.94179894179,90.38758277893066
241,69,200,91200,379253.11203319504,57.25502967834473
199,97,200,91200,459296.4824120603,62.409400939941406
190,71,200,91200,481052.63157894736,96.06575965881348
385,95,200,91200,237402.5974025974,95.48521041870117
265,70,200,91200,344905.6603773585,57.19280242919922
203,115,200,91200,450246.3054187192,64.41617012023926
210,71,200,91200,435238.09523809527,57.49654769897461
194,110,200,91200,471134.0206185567,65.80805778503418
335,67,200,91200,272835.82089552237,58.663368225097656
203,98,200,91200,450246.3054187192,62.448740005493164
209,73,200,91200,437320.57416267943,56.59818649291992
191,94,200,91200,478534.0314136126,74.80955123901367
338,65,200,91200,270414.20118343196,59.37457084655762
199,123,200,91200,459296.4824120603,64.09883499145508
230,63,200,91200,397391.30434782605,56.68473243713379
186,98,200,91200,491397.84946236556,62.581777572631836
211,76,200,91200,433175.35545023694,97.92137145996094
354,87,200,91200,258192.09039548025,97.75567054748535
243,67,200,91200,376131.6872427984,55.78947067260742
180,91,200,91200,507777.77777777775,63.01689147949219
193,68,200,91200,473575.12953367876,65.86432456970215
179,87,200,91200,510614.5251396648,61.11454963684082
305,63,200,91200,299672.131147541,56.64467811584473
185,92,200,91200,494054.0540540541,63.21597099304199
204,56,200,91200,448039.2156862745,58.35437774658203
176,89,200,91200,519318.1818181819,59.381961822509766
330,69,200,91200,276969.696969697,56.80727958679199
177,93,200,91200,516384.1807909605,64.42475318908691
206,73,200,91200,443689.32038834953,55.84883689880371
175,86,200,91200,522285.7142857143,57.106733322143555
185,66,200,91200,494054.0540540541,90.52801132202148
359,115,200,91200,254596.10027855154,90.29364585876465
265,68,200,91200,344905.6603773585,54.81266975402832
179,85,200,91200,510614.5251396648,59.09252166748047
181,66,200,91200,504972.37569060776,91.92776679992676
368,103,200,91200,248369.56521739133,91.14551544189453
290,71,200,91200,315172.4137931034,71.68197631835938
214,92,200,91200,427102.80373831774,73.67157936096191
228,80,200,91200,400877.1929824562,87.59832382202148
375,88,200,91200,243733.3333333333,91.10260009765625
333,87,200,91200,274474.47447447444,54.96072769165039
193,104,200,91200,473575.12953367876,60.99867820739746
218,69,200,91200,419266.05504587153,202.84676551818848
332,98,200,91200,275301.2048192771,72.4484920501709
363,72,200,91200,251790.63360881543,64.60285186767578
195,89,200,91200,468717.94871794875,59.801578521728516
221,69,200,91200,413574.66063348413,70.78146934509277
189,137,200,91200,483597.88359788357,71.8235969543457
222,80,200,91200,411711.7117117117,81.96067810058594
337,97,200,91200,271216.6172106825,89.17641639709473
323,74,200,91200,282972.1362229102,76.43437385559082
175,98,200,91200,522285.7142857143,76.08532905578613
216,71,200,91200,423148.14814814815,83.58097076416016
368,105,200,91200,248369.56521739133,100.77142715454102
396,68,200,91200,230808.0808080808,102.29969024658203
246,81,200,91200,371544.7154471545,94.50340270996094
273,68,200,91200,334798.53479853476,84.65957641601562
386,85,200,91200,236787.56476683938,89.56408500671387
409,62,200,91200,223471.8826405868,85.10231971740723
272,107,200,91200,336029.41176470584,90.54780006408691
245,91,200,91200,373061.2244897959,109.0395450592041
232,71,200,91200,393965.5172413793,86.47274971008301
273,70,200,91200,334798.53479853476,83.0376148223877
368,88,200,91200,248369.56521739133,98.93083572387695
280,85,200,91200,326428.5714285714,72.2956657409668
172,70,200,91200,531395.3488372093,62.30521202087402
198,64,200,91200,461616.1616161616,79.0090560913086
367,81,200,91200,249046.32152588555,96.36926651000977
304,97,200,91200,300657.8947368421,80.1093578338623
238,71,200,91200,384033.61344537814,70.82629203796387
