rttTimer(ms),latencyTime(ms),packetSizeUp(B),packetSizeDown(B),Throughput(B/s),processTime(ms)
159,105,200,91200,574842.7672955975,24.936437606811523
145,91,200,91200,630344.8275862068,22.922992706298828
286,96,200,91200,319580.41958041955,23.6971378326416
158,96,200,91200,578481.0126582279,24.81865882873535
157,90,200,91200,582165.6050955415,25.440454483032227
170,100,200,91200,537647.0588235294,23.95319938659668
166,95,200,91200,550602.4096385542,24.559497833251953
283,88,200,91200,322968.19787985866,23.36907386779785
159,78,200,91200,574842.7672955975,24.000883102416992
171,111,200,91200,534502.9239766081,23.149490356445312
152,106,200,91200,601315.7894736842,24.678468704223633
149,100,200,91200,613422.8187919463,24.62601661682129
291,92,200,91200,314089.3470790378,25.398731231689453
163,85,200,91200,560736.1963190184,25.55990219116211
189,111,200,91200,483597.88359788357,53.835391998291016
186,94,200,91200,491397.84946236556,53.47633361816406
185,94,200,91200,494054.0540540541,55.02915382385254
314,103,200,91200,291082.8025477707,52.29473114013672
180,93,200,91200,507777.77777777775,50.200700759887695
186,96,200,91200,491397.84946236556,51.880598068237305
188,100,200,91200,486170.21276595746,53.57837677001953
314,101,200,91200,291082.8025477707,52.85072326660156
182,108,200,91200,502197.80219780223,54.40044403076172
169,89,200,91200,540828.4023668639,54.796695709228516
203,104,200,91200,450246.3054187192,56.488990783691406
209,100,200,91200,437320.57416267943,52.28590965270996
320,101,200,91200,285625.0,54.612159729003906
197,96,200,91200,463959.3908629442,59.06963348388672
185,95,200,91200,494054.0540540541,55.68218231201172
208,88,200,91200,439423.0769230769,49.58796501159668
161,106,200,91200,567701.8633540373,26.449918746948242
291,97,200,91200,314089.3470790378,22.57084846496582
199,103,200,91200,459296.4824120603,52.025556564331055
161,98,200,91200,567701.8633540373,22.31144905090332
159,90,200,91200,574842.7672955975,23.595809936523438
184,103,200,91200,496739.13043478265,24.261951446533203
307,101,200,91200,297719.86970684037,23.123502731323242
180,113,200,91200,507777.77777777775,24.461984634399414
144,97,200,91200,634722.2222222221,20.926237106323242
153,94,200,91200,597385.6209150327,23.80537986755371
189,99,200,91200,483597.88359788357,25.00462532043457
316,100,200,91200,289240.50632911397,34.58571434020996
186,98,200,91200,491397.84946236556,24.291038513183594
178,90,200,91200,513483.1460674158,22.451162338256836
188,98,200,91200,486170.21276595746,29.791593551635742
179,92,200,91200,510614.5251396648,23.377656936645508
319,97,200,91200,286520.3761755486,24.83224868774414
195,86,200,91200,468717.94871794875,24.49202537536621
176,83,200,91200,519318.1818181819,24.329185485839844
182,98,200,91200,502197.80219780223,25.74324607849121
184,99,200,91200,496739.13043478265,26.31378173828125
338,90,200,91200,270414.20118343196,57.367801666259766
191,106,200,91200,478534.0314136126,26.561975479125977
218,83,200,91200,419266.05504587153,54.71086502075195
