rttTimer(ms),latencyTime(ms),packetSizeUp(B),packetSizeDown(B),Throughput(B/s),processTime(ms)
252,0,1664,91200,368507.9365079365,12.101173400878906
168,177,200,91200,544047.619047619,60.88089942932129
205,0,1664,91200,452995.1219512195,19.463300704956055
316,48,200,91200,289240.50632911397,74.58782196044922
253,62,200,91200,361264.8221343874,96.5733528137207
227,234,200,91200,402643.1718061674,84.08021926879883
222,30,200,91200,411711.7117117117,224.72190856933594
364,62,200,91200,251098.90109890111,80.85989952087402
367,51,200,91200,249046.32152588555,92.62514114379883
200,62,200,91200,457000.0,76.18045806884766
197,60,200,91200,463959.3908629442,20.488262176513672
126,62,200,91200,725396.8253968254,20.60866355895996
296,60,200,91200,308783.7837837838,22.669076919555664
116,57,200,91200,787931.0344827586,29.783248901367188
162,61,200,91200,564197.5308641975,22.796630859375
124,66,200,91200,737096.7741935484,22.893667221069336
155,67,200,91200,589677.4193548387,53.19523811340332
288,68,200,91200,317361.11111111107,39.90340232849121
270,57,200,91200,338518.51851851854,21.833181381225586
134,66,200,91200,682089.5522388059,22.568464279174805
188,61,200,91200,486170.21276595746,21.179676055908203
121,69,200,91200,755371.9008264464,23.467063903808594
312,56,200,91200,292948.71794871794,27.060270309448242
144,57,200,91200,634722.2222222221,24.88541603088379
173,56,200,91200,528323.6994219653,21.055221557617188
138,69,200,91200,662318.8405797101,22.446393966674805
183,59,200,91200,499453.5519125683,46.65994644165039
302,96,200,91200,302649.00662251655,37.93454170227051
262,57,200,91200,348854.96183206106,20.687341690063477
136,93,200,91200,672058.8235294117,20.050764083862305
174,65,200,91200,525287.356321839,18.599510192871094
137,103,200,91200,667153.2846715329,22.680282592773438
321,70,200,91200,284735.2024922118,17.441272735595703
115,78,200,91200,794782.6086956521,22.833824157714844
177,79,200,91200,516384.1807909605,19.00649070739746
138,114,200,91200,662318.8405797101,22.023677825927734
179,67,200,91200,510614.5251396648,19.620895385742188
134,100,200,91200,682089.5522388059,23.342370986938477
308,66,200,91200,296753.24675324676,18.601179122924805
123,80,200,91200,743089.430894309,22.098302841186523
181,85,200,91200,504972.37569060776,174.87215995788574
311,112,200,91200,293890.6752411576,34.35993194580078
333,81,200,91200,274474.47447447444,18.851280212402344
138,89,200,91200,662318.8405797101,22.5067138671875
180,70,200,91200,507777.77777777775,17.323970794677734
133,91,200,91200,687218.0451127819,22.409915924072266
175,62,200,91200,522285.7142857143,35.649776458740234
301,104,200,91200,303654.4850498339,38.279056549072266
307,70,200,91200,297719.86970684037,17.856121063232422
141,113,200,91200,648226.9503546099,23.079633712768555
187,60,200,91200,488770.0534759358,28.3968448638916
298,104,200,91200,306711.40939597314,35.744667053222656
328,67,200,91200,278658.5365853659,29.473543167114258
163,83,200,91200,560736.1963190184,52.66523361206055
188,70,200,91200,486170.21276595746,28.643369674682617
158,91,200,91200,578481.0126582279,45.85075378417969
190,66,200,91200,481052.63157894736,29.283761978149414
322,92,200,91200,283850.93167701864,43.15066337585449
286,94,200,91200,319580.41958041955,49.986839294433594
178,75,200,91200,513483.1460674158,31.6469669342041
186,75,200,91200,491397.84946236556,29.157161712646484
318,99,200,91200,287421.38364779874,51.093339920043945
